study_hours_per_week,sleep_hours_per_day,attendance_percentage,assignments_completed,final_grade,participation_level_Low,participation_level_Medium,internet_access_Yes,parental_education_High School,parental_education_Master's,parental_education_PhD,extracurricular_Yes,part_time_job_Yes
0.5272301366129832,0.6852355095063283,0.9932445868260613,0.22222222222222227,71.1048973686686,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.42140039424924697,0.8818833280940261,0.8834779360712495,0.5555555555555556,62.24002056897754,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.5523925341278932,0.2202864852361719,0.6834691607742798,1.0,65.26885546697802,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.6982827538457819,0.6125938473381141,0.5200944918695045,0.22222222222222227,66.60992125033138,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.40541888199055515,0.3698714861756347,0.8311266213446076,0.3333333333333333,58.96748427829645,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
0.4054216182862476,0.4025749232470608,0.7606641631219673,0.5555555555555556,63.18345281572739,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.7076465803623431,0.38152121515222626,0.8766706200328396,0.8888888888888888,68.478047756727,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
0.5723502326365959,0.3272018460640369,0.8165476532728704,0.22222222222222227,61.12408911268622,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.36619871345528576,0.5097043255889655,0.912362106001745,0.3333333333333333,59.59878025980917,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.5348711183754387,0.33380997671779244,0.5459224778527298,0.44444444444444436,72.14665345263793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3672081623090341,0.5540913651559678,0.9742932219243574,0.7777777777777779,66.58014083945928,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
0.3668228188494016,0.48995237811017267,0.7153708393701503,0.44444444444444436,56.50582502649447,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.4847714897054501,0.4522103906267181,1.0000000000000004,0.5555555555555556,68.6936924501433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.1255644036681448,0.31848726759168056,0.5103250739779246,0.6666666666666667,59.68224432092437,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.15695813902560563,0.3846457338863336,1.0000000000000004,0.44444444444444436,63.46567993660338,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3507298562376157,0.6510782451651513,0.7154427911000467,0.44444444444444436,69.1501451455683,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.27563925772204045,0.6001834375248762,0.5190583287792592,0.5555555555555556,58.899195816561885,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.49681899987699,0.30448895104028995,0.5577956417505123,0.8888888888888888,61.90227642508853,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
0.2931070985242426,0.5198664610858452,0.5956095319169776,1.0,68.1521830625087,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.20906049422189588,0.6502774246743579,0.7677582185260299,0.5555555555555556,58.71830050678006,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6887192392647035,0.16611894377572578,0.7905728989842715,0.8888888888888888,67.12402210838111,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
0.4068150610300218,0.6086720384759872,0.5370285280839568,0.22222222222222227,57.383170545695805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4556991452257651,0.3674752482108308,0.6640498947704292,0.7777777777777779,67.24944206745378,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
0.20698641340886825,0.6141197337186322,1.0000000000000004,0.6666666666666667,66.21534875177525,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
